name,recclass,mass,fall,year,id,latitude,longitude,country_code
Dhofar 295,Ureilite,48,Found,2002,7078,19.20833,54.64,OM
Dhofar 1275,L7,4999,Found,2003,30515,18.82852,54.63957,OM
Dhofar 1139,LL6,445,Found,2005,33842,19.191694,54.639389,OM
Dhofar 1037,H5/6,26.4,Found,2003,6840,19.30088,54.63938,OM
Dhofar 430,L5/6,182,Found,2001,7207,18.90343,54.639,OM
Dhofar 545,LL4,513,Found,2001,7306,19.35225,54.63828,OM
Dhofar 649,L6,33,Found,2001,7406,19.19365,54.63747,OM
Dhofar 1721,H5,238,Found,2010,56344,18.95435,54.6369,OM
Dhofar 035,H6,326,Found,1999,6734,19.16333,54.63667,OM
Dhofar 1577,H5,530,Found,2008,52010,19.2872,54.63597,OM
Dhofar 1057,L6,28,Found,2000,6862,18.81522,54.63337,OM
Dhofar 677,L6,533,Found,2001,7434,19.22398,54.63223,OM
Dhofar 1716,H5,1540,Found,2010,56340,18.91025,54.63185,OM
Dhofar 1038,L6,886.2,Found,2003,6841,19.30455,54.63157,OM
Dhofar 454,H5,80,Found,2001,7228,18.93593,54.63105,OM
Dhofar 1601,L5,1166,Found,2003,52623,19.185,54.631,OM
Dhofar 1040,H5,361,Found,2000,6844,18.7864,54.62955,OM
Dhofar 1719,L6,461,Found,2010,56342,18.97752,54.62923,OM
Dhofar 675,Ureilite,40,Found,2001,7432,19.2133,54.62908,OM
Dhofar 782,L6,708,Found,2000,7528,18.41212,54.62893,OM
Dhofar 1052,L6,41,Found,2000,6857,18.92287,54.62867,OM
Dhofar 282,L6,928,Found,2001,7065,19.03333,54.62833,OM
Dhofar 816,H5,23.86,Found,2001,7562,18.97923,54.62818,OM
Dhofar 1047,H4/5,296,Found,2000,6851,18.79307,54.62728,OM
Dhofar 237,H5,206,Found,2000,7021,19.17667,54.625,OM
Dhofar 676,L6,110,Found,2001,7433,19.22157,54.62478,OM
Dhofar 122,L6,1556,Found,2000,6907,18.9855,54.62467,OM
Dhofar 1050,H5,76,Found,2000,6855,18.89137,54.62413,OM
Dhofar 771,H5,114,Found,2000,7517,18.85012,54.62327,OM
Dhofar 1066,H5/6,305,Found,2000,6872,18.85002,54.62212,OM
Dhofar 121,L6,220,Found,2000,6906,18.98267,54.62183,OM
Dhofar 1451,H~5,570,Found,2008,51599,19.21303,54.62077,OM
Dhofar 1515,H6,1450,Found,2008,52389,18.52533,54.61717,OM
Dhofar 478,H5/6,2683,Found,2001,7239,19.16861,54.61667,OM
Dhofar 120,H4,240,Found,2000,6905,18.97817,54.61667,OM
Dhofar 854,L6,142,Found,2001,7600,18.88,54.61667,OM
Dhofar 179,H5,193.3,Found,2000,6963,18.92056,54.61639,OM
Dhofar 1051,L4/5,38,Found,2000,6856,18.90902,54.61618,OM
Dhofar 634,L6,436,Found,2001,7391,19.11107,54.61557,OM
Dhofar 1416,L~6,49.74,Found,2001,35504,19.1112,54.61523,OM
Dhofar 167,H6,3636,Found,2000,6952,19.05889,54.615,OM
Dhofar 1750,H5,123,Found,,56488,19.18639,54.61472,OM
Dhofar 768,H5/6,195,Found,2000,7514,18.81928,54.61427,OM
Dhofar 1045,H5/6,170,Found,2000,6849,18.81953,54.6138,OM
Dhofar 712,L6,577,Found,2001,7468,18.69833,54.61333,OM
Dhofar 1417,L~5,5.52,Found,2001,35505,19.10735,54.61293,OM
